rank,account_id,company_name,plan_tier,csm_assigned,region,mrr,arr,churn_proba,risk_tier,arr_at_risk,contract_end_date,recommended_action
163,ACC-1470,"Griffin, Miller and Austin",starter,Anna Kowalski,EMEA,696.99,8363.88,0.9961,Critical,8331.0,2025-09-03,CSM intervention call within 48 hours
164,ACC-0966,Owens-Russell,starter,Priya Sharma,,725.79,8709.48,0.9563,Critical,8329.0,2025-08-06,CSM intervention call within 48 hours
165,ACC-0268,Jimenez Ltd,starter,Anna Kowalski,,703.6,8443.2,0.9832,Critical,8301.0,2026-07-18,CSM intervention call within 48 hours
166,ACC-1991,Fitzgerald-Brown,starter,James Okonkwo,,692.95,8315.4,0.998,Critical,8299.0,2025-03-09,CSM intervention call within 48 hours
167,ACC-0055,Jones Inc,starter,Sarah Chen,APAC,697.5,8370.0,0.9906,Critical,8291.0,2025-09-19,CSM intervention call within 48 hours
168,ACC-0431,"Huang, Cole and Pacheco",starter,Priya Sharma,,778.09,9337.08,0.8797,Critical,8214.0,2025-10-11,CSM intervention call within 48 hours
169,ACC-0483,"Andrews, Higgins and Carter",starter,Anna Kowalski,APAC,690.57,8286.84,0.9876,Critical,8184.0,2024-04-11,CSM intervention call within 48 hours
170,ACC-0952,Blake Group,starter,James Okonkwo,,678.51,8142.12,0.9983,Critical,8128.0,2026-12-09,CSM intervention call within 48 hours
171,ACC-0875,Smith-Noble,starter,James Okonkwo,EMEA,679.54,8154.48,0.9968,Critical,8128.0,2025-10-20,CSM intervention call within 48 hours
172,ACC-0900,Wright Ltd,starter,Sarah Chen,EMEA,683.84,8206.08,0.9871,Critical,8100.0,2025-10-17,CSM intervention call within 48 hours
173,ACC-1615,Hanson-Alexander,starter,Priya Sharma,,691.61,8299.32,0.9718,Critical,8065.0,2025-07-27,CSM intervention call within 48 hours
174,ACC-0303,Santana-Byrd,starter,Lena Müller,EMEA,682.11,8185.32,0.984,Critical,8054.0,2024-03-29,CSM intervention call within 48 hours
175,ACC-1963,"Carroll, Ramirez and Rodriguez",starter,Lena Müller,,679.38,8152.56,0.979,Critical,7981.0,2024-04-16,CSM intervention call within 48 hours
176,ACC-1116,Silva-Smith,starter,Anna Kowalski,APAC,663.18,7958.16,0.9965,Critical,7930.0,2024-04-02,CSM intervention call within 48 hours
177,ACC-0804,Barton-Chapman,starter,Lena Müller,APAC,680.4,8164.8,0.9686,Critical,7908.0,2026-01-08,CSM intervention call within 48 hours
178,ACC-1837,Soto PLC,starter,Carlos Vega,EMEA,672.92,8075.04,0.9713,Critical,7843.0,2025-12-01,CSM intervention call within 48 hours
179,ACC-1559,Duncan Group,starter,Marco Ricci,APAC,790.92,9491.04,0.8253,Critical,7833.0,2024-05-23,CSM intervention call within 48 hours
180,ACC-1060,"Contreras, Miller and Cooper",starter,Carlos Vega,APAC,643.09,7717.08,0.9988,Critical,7708.0,2024-09-29,CSM intervention call within 48 hours
181,ACC-0565,Li PLC,starter,Lena Müller,APAC,686.98,8243.76,0.9312,Critical,7677.0,2026-09-29,CSM intervention call within 48 hours
182,ACC-0633,Simon Ltd,starter,James Okonkwo,,653.79,7845.48,0.9743,Critical,7644.0,2025-03-31,CSM intervention call within 48 hours
183,ACC-1317,King and Sons,starter,James Okonkwo,EMEA,649.99,7799.88,0.9647,Critical,7525.0,2025-09-21,CSM intervention call within 48 hours
184,ACC-1921,"Jackson, Garza and Meyers",starter,Anna Kowalski,,666.12,7993.44,0.9331,Critical,7459.0,2025-04-16,CSM intervention call within 48 hours
185,ACC-1441,"Ramirez, Walker and Ray",starter,Yuki Tanaka,APAC,705.63,8467.56,0.8742,Critical,7402.0,2025-08-14,CSM intervention call within 48 hours
186,ACC-0387,"Morales, Thomas and Schultz",starter,James Okonkwo,,698.57,8382.84,0.8772,Critical,7353.0,2025-03-08,CSM intervention call within 48 hours
187,ACC-1725,"Shaffer, Lewis and Davidson",starter,Marco Ricci,APAC,666.73,8000.76,0.8963,Critical,7171.0,2024-04-17,CSM intervention call within 48 hours
188,ACC-0476,Gilbert-Bullock,starter,James Okonkwo,APAC,597.39,7168.68,0.9943,Critical,7128.0,2025-09-06,CSM intervention call within 48 hours
189,ACC-1710,Richardson-Gray,starter,Lena Müller,,591.27,7095.24,0.998,Critical,7081.0,2024-10-12,CSM intervention call within 48 hours
190,ACC-0398,"Estrada, Williams and Foster",starter,Anna Kowalski,,605.49,7265.88,0.973,Critical,7070.0,2025-06-23,CSM intervention call within 48 hours
191,ACC-0429,Gilbert PLC,starter,Sarah Chen,EMEA,603.5,7242.0,0.9739,Critical,7053.0,2026-08-13,CSM intervention call within 48 hours
192,ACC-0903,Abbott Ltd,starter,Marco Ricci,,602.82,7233.84,0.9716,Critical,7028.0,2026-05-01,CSM intervention call within 48 hours
193,ACC-1126,"Erickson, Armstrong and Lee",starter,Lena Müller,APAC,665.09,7981.08,0.8801,Critical,7024.0,2026-05-16,CSM intervention call within 48 hours
194,ACC-0396,Reed Inc,starter,Carlos Vega,,593.85,7126.2,0.985,Critical,7019.0,2024-09-21,CSM intervention call within 48 hours
195,ACC-1577,Kirk-Gutierrez,starter,James Okonkwo,,579.66,6955.92,0.9964,Critical,6931.0,2026-04-26,CSM intervention call within 48 hours
196,ACC-1403,Arias-Morales,starter,Lena Müller,APAC,731.45,8777.4,0.7892,Critical,6927.0,2025-04-03,CSM intervention call within 48 hours
197,ACC-1606,Castillo and Sons,starter,Sarah Chen,,580.32,6963.84,0.9937,Critical,6920.0,2025-01-07,CSM intervention call within 48 hours
198,ACC-1316,"Murray, Dunn and Roberts",starter,Marco Ricci,APAC,614.81,7377.72,0.9336,Critical,6888.0,2024-03-31,CSM intervention call within 48 hours
199,ACC-0308,Armstrong-Andrews,starter,Priya Sharma,APAC,574.92,6899.04,0.9957,Critical,6869.0,2025-07-01,CSM intervention call within 48 hours
200,ACC-1548,"Martin, Schmidt and Cole",starter,Marco Ricci,EMEA,587.27,7047.24,0.9705,Critical,6839.0,2025-04-16,CSM intervention call within 48 hours
201,ACC-0569,Levy-Lewis,starter,James Okonkwo,EMEA,586.34,7036.08,0.969,Critical,6818.0,2025-03-13,CSM intervention call within 48 hours
202,ACC-0463,"Taylor, Wright and Davidson",starter,Lena Müller,,575.41,6904.92,0.9814,Critical,6776.0,2026-11-17,CSM intervention call within 48 hours
203,ACC-1422,Maldonado-Mosley,starter,Carlos Vega,APAC,567.96,6815.52,0.9937,Critical,6773.0,2025-04-05,CSM intervention call within 48 hours
204,ACC-0184,"Higgins, Strickland and Martin",starter,Lena Müller,,642.46,7709.52,0.8781,Critical,6770.0,2025-06-10,CSM intervention call within 48 hours
205,ACC-1476,Page-Jacobs,starter,Anna Kowalski,APAC,577.0,6924.0,0.9755,Critical,6754.0,2024-12-17,CSM intervention call within 48 hours
206,ACC-1832,"Osborne, Harrison and Hunt",starter,Carlos Vega,,578.92,6947.04,0.9649,Critical,6703.0,2026-03-05,CSM intervention call within 48 hours
207,ACC-1303,"Turner, Miller and Hubbard",starter,James Okonkwo,,561.97,6743.64,0.9921,Critical,6690.0,2026-11-09,CSM intervention call within 48 hours
208,ACC-0773,Thomas-Jackson,starter,Yuki Tanaka,APAC,562.15,6745.8,0.9893,Critical,6674.0,2026-08-12,CSM intervention call within 48 hours
209,ACC-0106,Nolan and Sons,starter,Priya Sharma,EMEA,557.76,6693.12,0.9928,Critical,6645.0,2025-07-09,CSM intervention call within 48 hours
210,ACC-1081,Humphrey-Baker,starter,Lena Müller,EMEA,567.3,6807.6,0.9695,Critical,6600.0,2025-07-30,CSM intervention call within 48 hours
211,ACC-1006,Thompson PLC,starter,James Okonkwo,EMEA,743.59,8923.08,0.7279,High,6495.0,2026-11-02,Automated re-engagement sequence + CSM follow-up
212,ACC-1874,Erickson Inc,starter,Lena Müller,,543.13,6517.56,0.981,Critical,6394.0,2024-05-18,CSM intervention call within 48 hours
213,ACC-0195,"Hernandez, Thompson and Boyd",starter,Sarah Chen,APAC,533.05,6396.6,0.9966,Critical,6375.0,2026-09-01,CSM intervention call within 48 hours
214,ACC-1268,"Palmer, Bennett and Patterson",starter,Lena Müller,APAC,546.98,6563.76,0.9705,Critical,6370.0,2025-01-18,CSM intervention call within 48 hours
215,ACC-1256,Cervantes-Garcia,starter,Marco Ricci,APAC,572.8,6873.6,0.913,Critical,6276.0,2024-06-02,CSM intervention call within 48 hours
216,ACC-0301,"Thomas, Murray and King",starter,Yuki Tanaka,,526.7,6320.4,0.9865,Critical,6235.0,2025-04-17,CSM intervention call within 48 hours
217,ACC-1140,Taylor and Sons,starter,Marco Ricci,APAC,531.22,6374.64,0.9651,Critical,6152.0,2025-05-23,CSM intervention call within 48 hours
218,ACC-1434,Perez and Sons,starter,Lena Müller,APAC,514.81,6177.72,0.9938,Critical,6139.0,2025-11-04,CSM intervention call within 48 hours
219,ACC-0137,"Lewis, Kennedy and Santana",starter,Priya Sharma,EMEA,525.49,6305.88,0.9677,Critical,6102.0,2025-11-22,CSM intervention call within 48 hours
220,ACC-0978,Parks-Pace,starter,Lena Müller,APAC,510.0,6120.0,0.9881,Critical,6047.0,2025-03-08,CSM intervention call within 48 hours
221,ACC-1276,"Moore, Daniels and Powell",starter,Marco Ricci,,524.32,6291.84,0.9579,Critical,6027.0,2024-05-25,CSM intervention call within 48 hours
222,ACC-1609,Adams Group,starter,Yuki Tanaka,EMEA,722.98,8675.76,0.6924,High,6007.0,2025-06-08,Automated re-engagement sequence + CSM follow-up
223,ACC-1758,Hill-Flores,starter,James Okonkwo,EMEA,693.59,8323.08,0.7158,High,5958.0,2026-08-11,Automated re-engagement sequence + CSM follow-up
224,ACC-1466,Dillon-Mccarty,starter,Priya Sharma,APAC,510.91,6130.92,0.9601,Critical,5886.0,2024-06-29,CSM intervention call within 48 hours
225,ACC-1614,Jensen-Branch,starter,James Okonkwo,,493.94,5927.28,0.9921,Critical,5880.0,2025-10-08,CSM intervention call within 48 hours
226,ACC-0848,"Greer, Potter and Evans",starter,Priya Sharma,EMEA,516.06,6192.72,0.941,Critical,5827.0,2025-10-19,CSM intervention call within 48 hours
227,ACC-0969,Aguirre LLC,starter,Sarah Chen,EMEA,505.04,6060.48,0.959,Critical,5812.0,2024-06-14,CSM intervention call within 48 hours
228,ACC-0069,Russell Group,starter,Lena Müller,EMEA,498.95,5987.4,0.9702,Critical,5809.0,2025-03-25,CSM intervention call within 48 hours
229,ACC-1525,"Wright, Wise and Ramos",starter,Anna Kowalski,EMEA,534.62,6415.44,0.9014,Critical,5783.0,2024-04-08,CSM intervention call within 48 hours
230,ACC-1389,Pearson-King,starter,Marco Ricci,,482.75,5793.0,0.9836,Critical,5698.0,2024-07-27,CSM intervention call within 48 hours
231,ACC-0914,Hunter-Fuller,starter,Priya Sharma,APAC,602.91,7234.92,0.7817,Critical,5656.0,2026-02-10,CSM intervention call within 48 hours
232,ACC-1682,White PLC,starter,Priya Sharma,,789.7,9476.4,0.5957,High,5645.0,2026-09-03,Automated re-engagement sequence + CSM follow-up
233,ACC-1945,Thompson-Santiago,starter,Carlos Vega,,463.3,5559.6,0.9972,Critical,5544.0,2025-07-07,CSM intervention call within 48 hours
234,ACC-0816,Lopez Ltd,starter,Yuki Tanaka,,461.75,5541.0,0.9918,Critical,5496.0,2025-11-06,CSM intervention call within 48 hours
235,ACC-0082,Sandoval-Cunningham,starter,Lena Müller,APAC,454.16,5449.92,0.995,Critical,5423.0,2024-04-20,CSM intervention call within 48 hours
236,ACC-1307,"Phillips, Walters and Evans",starter,Marco Ricci,EMEA,492.94,5915.28,0.8983,Critical,5314.0,2025-04-17,CSM intervention call within 48 hours
237,ACC-1047,"Fernandez, Guerrero and Evans",starter,Carlos Vega,,446.55,5358.6,0.9903,Critical,5307.0,2025-05-09,CSM intervention call within 48 hours
238,ACC-0832,Lopez-Reid,starter,Sarah Chen,,448.91,5386.92,0.9834,Critical,5297.0,2025-11-15,CSM intervention call within 48 hours
239,ACC-0714,Hudson-Sanchez,starter,Carlos Vega,,441.82,5301.84,0.998,Critical,5291.0,2025-09-12,CSM intervention call within 48 hours
240,ACC-0509,Jackson-Wallace,starter,Lena Müller,,441.13,5293.56,0.9957,Critical,5271.0,2024-08-27,CSM intervention call within 48 hours
241,ACC-0891,Taylor-Ayala,starter,Priya Sharma,EMEA,756.32,9075.84,0.5756,High,5224.0,2025-11-13,Automated re-engagement sequence + CSM follow-up
242,ACC-1706,Martin LLC,starter,Lena Müller,EMEA,429.82,5157.84,0.9951,Critical,5133.0,2025-11-06,CSM intervention call within 48 hours
243,ACC-0197,Marshall-Petersen,starter,Carlos Vega,EMEA,431.23,5174.76,0.9854,Critical,5099.0,2025-05-14,CSM intervention call within 48 hours
244,ACC-1764,Austin-Morgan,starter,James Okonkwo,APAC,424.65,5095.8,0.9938,Critical,5064.0,2024-08-12,CSM intervention call within 48 hours
245,ACC-1267,Lopez and Sons,starter,Yuki Tanaka,EMEA,451.79,5421.48,0.9236,Critical,5007.0,2025-10-06,CSM intervention call within 48 hours
246,ACC-1478,Adkins-Meyer,starter,Yuki Tanaka,APAC,454.11,5449.32,0.9168,Critical,4996.0,2025-07-05,CSM intervention call within 48 hours
247,ACC-0039,Harrell LLC,starter,Yuki Tanaka,,426.36,5116.32,0.9717,Critical,4972.0,2025-09-28,CSM intervention call within 48 hours
248,ACC-1139,Moreno-Gutierrez,starter,James Okonkwo,EMEA,423.37,5080.44,0.9728,Critical,4942.0,2026-08-19,CSM intervention call within 48 hours
249,ACC-0456,Diaz-Ball,starter,Marco Ricci,,786.93,9443.16,0.5223,High,4932.0,2026-10-07,Automated re-engagement sequence + CSM follow-up
250,ACC-0852,"Norris, Callahan and Bishop",starter,Priya Sharma,EMEA,553.36,6640.32,0.7418,High,4926.0,2025-06-26,Automated re-engagement sequence + CSM follow-up
251,ACC-1066,"Johnson, Duncan and Black",starter,James Okonkwo,EMEA,671.71,8060.52,0.607,High,4893.0,2024-09-05,Automated re-engagement sequence + CSM follow-up
252,ACC-0409,Jackson-Meza,starter,James Okonkwo,EMEA,742.55,8910.6,0.547,High,4874.0,2025-12-15,Automated re-engagement sequence + CSM follow-up
253,ACC-0420,Thompson Ltd,starter,Anna Kowalski,EMEA,620.83,7449.96,0.6377,High,4751.0,2024-09-09,Automated re-engagement sequence + CSM follow-up
254,ACC-0332,"Turner, Ortiz and Taylor",starter,Sarah Chen,EMEA,412.56,4950.72,0.9587,Critical,4746.0,2025-05-07,CSM intervention call within 48 hours
255,ACC-1958,Brown-Graham,starter,Marco Ricci,,396.67,4760.04,0.9946,Critical,4734.0,2026-11-10,CSM intervention call within 48 hours
256,ACC-1151,"Watson, Smith and Morris",starter,Carlos Vega,,395.5,4746.0,0.9853,Critical,4676.0,2025-11-02,CSM intervention call within 48 hours
257,ACC-0416,"Hicks, Bullock and Bailey",starter,Lena Müller,EMEA,398.17,4778.04,0.9544,Critical,4560.0,2025-09-11,CSM intervention call within 48 hours
258,ACC-1446,"Holmes, Stewart and Smith",starter,Priya Sharma,EMEA,392.58,4710.96,0.9612,Critical,4528.0,2025-02-28,CSM intervention call within 48 hours
259,ACC-1840,Washington-Martinez,starter,Sarah Chen,,379.1,4549.2,0.9914,Critical,4510.0,2024-09-10,CSM intervention call within 48 hours
260,ACC-1482,Jackson Inc,starter,James Okonkwo,APAC,382.44,4589.28,0.9816,Critical,4505.0,2026-06-06,CSM intervention call within 48 hours
261,ACC-0964,Taylor PLC,starter,Sarah Chen,,693.33,8319.96,0.5386,High,4481.0,2025-12-02,Automated re-engagement sequence + CSM follow-up
262,ACC-0147,Robinson-Brock,starter,Yuki Tanaka,APAC,393.88,4726.56,0.9474,Critical,4478.0,2024-10-26,CSM intervention call within 48 hours
263,ACC-0774,Fisher-Washington,starter,James Okonkwo,EMEA,396.17,4754.04,0.9349,Critical,4445.0,2025-07-12,CSM intervention call within 48 hours
264,ACC-0713,"Butler, Hernandez and Rivera",starter,Priya Sharma,EMEA,375.12,4501.44,0.9868,Critical,4442.0,2026-11-05,CSM intervention call within 48 hours
265,ACC-0311,"Beltran, Lozano and Mcgee",starter,Sarah Chen,APAC,366.71,4400.52,0.9939,Critical,4374.0,2024-11-30,CSM intervention call within 48 hours
266,ACC-0581,"Cook, Wells and Bryant",starter,Sarah Chen,EMEA,515.27,6183.24,0.7016,High,4338.0,2024-08-09,Automated re-engagement sequence + CSM follow-up
267,ACC-0962,Haynes-Moss,starter,Carlos Vega,EMEA,421.43,5057.16,0.8528,Critical,4313.0,2025-10-18,CSM intervention call within 48 hours
268,ACC-0325,"Diaz, Gibbs and Smith",starter,Anna Kowalski,,380.63,4567.56,0.9348,Critical,4270.0,2025-06-03,CSM intervention call within 48 hours
269,ACC-1367,"Haney, Dillon and Jackson",starter,Priya Sharma,APAC,372.69,4472.28,0.954,Critical,4267.0,2026-03-31,CSM intervention call within 48 hours
270,ACC-0231,"Branch, Torres and Oliver",starter,Lena Müller,APAC,360.67,4328.04,0.9849,Critical,4263.0,2026-02-21,CSM intervention call within 48 hours
271,ACC-0163,"Smith, Gilmore and Johnston",starter,Marco Ricci,EMEA,364.72,4376.64,0.9717,Critical,4253.0,2024-12-18,CSM intervention call within 48 hours
272,ACC-0628,Mcdowell-Smith,starter,Sarah Chen,EMEA,354.94,4259.28,0.9897,Critical,4215.0,2025-10-22,CSM intervention call within 48 hours
273,ACC-1273,"Turner, Tyler and Pierce",starter,Carlos Vega,APAC,370.88,4450.56,0.9426,Critical,4195.0,2024-11-03,CSM intervention call within 48 hours
274,ACC-1565,"Paul, Zamora and Short",starter,Anna Kowalski,APAC,349.13,4189.56,0.9912,Critical,4153.0,2024-06-27,CSM intervention call within 48 hours
275,ACC-1953,Burgess LLC,starter,Yuki Tanaka,EMEA,348.18,4178.16,0.9933,Critical,4150.0,2025-12-14,CSM intervention call within 48 hours
276,ACC-0440,King-York,starter,Marco Ricci,EMEA,352.56,4230.72,0.9803,Critical,4147.0,2025-07-24,CSM intervention call within 48 hours
277,ACC-0309,"Phillips, Spence and Barrett",starter,James Okonkwo,,446.99,5363.88,0.7687,Critical,4123.0,2025-10-19,CSM intervention call within 48 hours
278,ACC-0492,Anderson-Bell,starter,Sarah Chen,,625.34,7504.08,0.5309,High,3984.0,2026-05-29,Automated re-engagement sequence + CSM follow-up
279,ACC-1041,"Jones, Mcmahon and Spence",starter,Marco Ricci,EMEA,349.63,4195.56,0.9477,Critical,3976.0,2024-09-21,CSM intervention call within 48 hours
280,ACC-0995,Mayo Ltd,starter,Priya Sharma,,331.58,3978.96,0.9933,Critical,3952.0,2024-09-29,CSM intervention call within 48 hours
281,ACC-1875,Gates and Sons,starter,Priya Sharma,,336.85,4042.2,0.9734,Critical,3935.0,2025-04-30,CSM intervention call within 48 hours
282,ACC-1131,Hardy-Hansen,starter,Sarah Chen,APAC,379.93,4559.16,0.8611,Critical,3926.0,2024-11-13,CSM intervention call within 48 hours
283,ACC-0901,Wright PLC,starter,James Okonkwo,,369.29,4431.48,0.8827,Critical,3912.0,2024-08-09,CSM intervention call within 48 hours
284,ACC-1148,Mendez Ltd,starter,Lena Müller,,343.76,4125.12,0.9479,Critical,3910.0,2025-07-04,CSM intervention call within 48 hours
285,ACC-0363,"Hernandez, Martinez and Weber",starter,Anna Kowalski,APAC,326.3,3915.6,0.9951,Critical,3896.0,2026-07-09,CSM intervention call within 48 hours
286,ACC-0470,Hughes Inc,starter,Yuki Tanaka,EMEA,424.37,5092.44,0.7649,Critical,3895.0,2024-10-19,CSM intervention call within 48 hours
287,ACC-0639,Holden Group,starter,Carlos Vega,APAC,319.41,3832.92,0.9895,Critical,3793.0,2025-12-03,CSM intervention call within 48 hours
288,ACC-1787,Stephens-Young,starter,Anna Kowalski,APAC,360.8,4329.6,0.8673,Critical,3755.0,2025-12-16,CSM intervention call within 48 hours
289,ACC-1015,"Stark, Schroeder and Mathis",starter,Marco Ricci,,318.49,3821.88,0.9737,Critical,3721.0,2025-10-05,CSM intervention call within 48 hours
290,ACC-0645,Sullivan PLC,starter,Priya Sharma,EMEA,312.52,3750.24,0.9693,Critical,3635.0,2025-11-18,CSM intervention call within 48 hours
291,ACC-0600,Fox-Edwards,starter,Anna Kowalski,,383.54,4602.48,0.7881,Critical,3627.0,2024-12-09,CSM intervention call within 48 hours
292,ACC-0402,Thompson-James,starter,Carlos Vega,,528.48,6341.76,0.5668,High,3595.0,2025-04-07,Automated re-engagement sequence + CSM follow-up
293,ACC-0120,"Rivera, Johnson and Wiley",starter,Sarah Chen,EMEA,315.88,3790.56,0.9411,Critical,3567.0,2025-12-10,CSM intervention call within 48 hours
294,ACC-0543,Torres and Sons,starter,Lena Müller,,299.71,3596.52,0.9906,Critical,3563.0,2026-10-28,CSM intervention call within 48 hours
295,ACC-1961,Cortez-Chen,starter,Priya Sharma,EMEA,300.04,3600.48,0.9701,Critical,3493.0,2025-07-21,CSM intervention call within 48 hours
296,ACC-1231,Ellis-Lawrence,starter,Marco Ricci,,354.64,4255.68,0.8182,Critical,3482.0,2024-04-29,CSM intervention call within 48 hours
297,ACC-0348,Willis and Sons,starter,Anna Kowalski,,320.64,3847.68,0.8711,Critical,3352.0,2026-10-06,CSM intervention call within 48 hours
298,ACC-0468,Wilkerson-Arias,starter,Carlos Vega,,279.76,3357.12,0.995,Critical,3340.0,2025-09-01,CSM intervention call within 48 hours
299,ACC-1914,"Contreras, Ellis and Gregory",starter,Sarah Chen,EMEA,286.58,3438.96,0.969,Critical,3332.0,2025-05-02,CSM intervention call within 48 hours
300,ACC-1496,Ballard Group,starter,James Okonkwo,EMEA,439.92,5279.04,0.6192,High,3269.0,2026-01-15,Automated re-engagement sequence + CSM follow-up
301,ACC-0736,Sutton-Abbott,starter,Anna Kowalski,EMEA,476.52,5718.24,0.5715,High,3268.0,2026-09-27,Automated re-engagement sequence + CSM follow-up
302,ACC-1001,"Howard, Silva and Hall",starter,Carlos Vega,,275.4,3304.8,0.9855,Critical,3257.0,2025-03-27,CSM intervention call within 48 hours
303,ACC-1960,Hughes and Sons,starter,Yuki Tanaka,,270.63,3247.56,0.9896,Critical,3214.0,2025-10-16,CSM intervention call within 48 hours
304,ACC-1887,"Vasquez, Thomas and Mack",starter,Anna Kowalski,EMEA,266.56,3198.72,0.9801,Critical,3135.0,2024-11-07,CSM intervention call within 48 hours
305,ACC-1643,"Salazar, Garrett and Perez",starter,Carlos Vega,,267.04,3204.48,0.9761,Critical,3128.0,2026-07-09,CSM intervention call within 48 hours
306,ACC-0797,Rodriguez and Sons,starter,Priya Sharma,EMEA,257.68,3092.16,0.9925,Critical,3069.0,2025-06-22,CSM intervention call within 48 hours
307,ACC-0734,Chung-Stevens,starter,Lena Müller,,263.06,3156.72,0.9626,Critical,3039.0,2025-11-01,CSM intervention call within 48 hours
308,ACC-0976,Martinez Inc,starter,James Okonkwo,,424.18,5090.16,0.5967,High,3037.0,2025-04-05,Automated re-engagement sequence + CSM follow-up
309,ACC-1956,Kane-Bennett,starter,Marco Ricci,APAC,246.45,2957.4,0.9937,Critical,2939.0,2025-11-30,CSM intervention call within 48 hours
310,ACC-1003,Adams Ltd,starter,James Okonkwo,EMEA,263.89,3166.68,0.9155,Critical,2899.0,2025-06-06,CSM intervention call within 48 hours
311,ACC-1535,Perkins Ltd,starter,Marco Ricci,EMEA,246.15,2953.8,0.9646,Critical,2849.0,2024-11-05,CSM intervention call within 48 hours
312,ACC-0808,Bailey LLC,starter,Carlos Vega,EMEA,240.34,2884.08,0.987,Critical,2847.0,2025-08-05,CSM intervention call within 48 hours
313,ACC-0598,Thornton PLC,starter,James Okonkwo,,237.06,2844.72,0.9926,Critical,2824.0,2026-11-23,CSM intervention call within 48 hours
314,ACC-1739,"Ferguson, Martin and Obrien",starter,Lena Müller,APAC,352.54,4230.48,0.6663,High,2819.0,2025-08-18,Automated re-engagement sequence + CSM follow-up
315,ACC-0732,"Hernandez, Lee and Fox",starter,Yuki Tanaka,APAC,385.76,4629.12,0.5896,High,2729.0,2025-03-08,Automated re-engagement sequence + CSM follow-up
316,ACC-0310,Smith-Grimes,starter,Lena Müller,,233.95,2807.4,0.9718,Critical,2728.0,2025-10-04,CSM intervention call within 48 hours
317,ACC-0985,Underwood-Foster,starter,Carlos Vega,EMEA,236.9,2842.8,0.9525,Critical,2708.0,2025-12-25,CSM intervention call within 48 hours
318,ACC-1143,Maxwell Group,starter,Priya Sharma,,227.63,2731.56,0.985,Critical,2691.0,2025-06-03,CSM intervention call within 48 hours
319,ACC-1483,Brown Group,starter,Carlos Vega,APAC,222.89,2674.68,0.9967,Critical,2666.0,2024-04-02,CSM intervention call within 48 hours
320,ACC-1619,"Mcintosh, Melton and Wilkins",starter,Anna Kowalski,APAC,220.87,2650.44,0.9955,Critical,2639.0,2025-08-13,CSM intervention call within 48 hours
321,ACC-0011,Blair PLC,starter,Sarah Chen,,215.25,2583.0,0.9944,Critical,2569.0,2024-06-11,CSM intervention call within 48 hours
322,ACC-1352,Kaufman-Walker,starter,Yuki Tanaka,APAC,213.41,2560.92,0.9963,Critical,2551.0,2025-08-09,CSM intervention call within 48 hours
323,ACC-0350,"Smith, Garrison and Thomas",starter,Priya Sharma,APAC,213.46,2561.52,0.9907,Critical,2538.0,2024-08-06,CSM intervention call within 48 hours
324,ACC-0988,Ramirez-Stephenson,starter,Marco Ricci,EMEA,211.5,2538.0,0.9912,Critical,2516.0,2025-10-27,CSM intervention call within 48 hours
325,ACC-1656,Lopez PLC,starter,James Okonkwo,EMEA,321.97,3863.64,0.6345,High,2451.0,2025-08-02,Automated re-engagement sequence + CSM follow-up
326,ACC-0407,Berry-Mckinney,starter,Yuki Tanaka,APAC,214.22,2570.64,0.9345,Critical,2402.0,2024-10-05,CSM intervention call within 48 hours
327,ACC-0423,"Downs, Morris and Maddox",starter,Carlos Vega,APAC,285.97,3431.64,0.6695,High,2297.0,2024-03-28,Automated re-engagement sequence + CSM follow-up
328,ACC-1756,"Edwards, Lane and Collins",starter,Lena Müller,,218.67,2624.04,0.8485,Critical,2226.0,2026-09-24,CSM intervention call within 48 hours
329,ACC-1826,Nixon-Miller,starter,Lena Müller,,286.55,3438.6,0.6384,High,2195.0,2025-07-05,Automated re-engagement sequence + CSM follow-up
330,ACC-1331,"Jones, Smith and Hunter",starter,Carlos Vega,APAC,275.18,3302.16,0.6451,High,2130.0,2025-05-25,Automated re-engagement sequence + CSM follow-up
331,ACC-1624,"Webb, Blair and Thomas",starter,Lena Müller,,281.74,3380.88,0.6159,High,2082.0,2024-03-27,Automated re-engagement sequence + CSM follow-up
332,ACC-1649,Douglas PLC,starter,Anna Kowalski,EMEA,200.2,2402.4,0.8643,Critical,2076.0,2025-11-26,CSM intervention call within 48 hours
333,ACC-1849,Larson and Sons,starter,James Okonkwo,,205.46,2465.52,0.7754,Critical,1912.0,2024-04-06,CSM intervention call within 48 hours
334,ACC-0026,Wilkerson-Day,starter,Yuki Tanaka,,209.27,2511.24,0.6178,High,1551.0,2026-09-14,Automated re-engagement sequence + CSM follow-up
